YYYYMMDD	   TG	    Q	   RH
20161024	71	373	0
20161025	87	262	0
20161026	95	518	-1
20161027	118	323	0
20161028	131	140	-1
20161029	96	659	0
20161030	87	594	0
20161031	85	749	0
20161101	81	248	2
20161102	72	636	42
20161103	67	486	6
20161104	76	273	27
20161105	69	391	31
20161106	61	365	51
20161107	42	156	17
20161108	19	402	15
20161109	30	128	37
20161110	40	200	139
20161111	18	602	2
20161112	20	422	8
20161113	27	127	17
20161114	31	191	39
20161115	108	80	35
20161116	119	254	56
20161117	93	258	120
20161118	60	265	7
20161119	58	385	-1
20161120	84	93	46
20161121	120	187	49
20161122	110	383	0
20161123	79	164	0
20161124	66	359	0
20161125	33	484	0
20161126	-1	396	0
20161127	56	258	-1
20161128	-3	466	0
20161129	-31	552	0
20161130	20	248	0
20161201	79	162	-1
20161202	52	172	9
20161203	-1	291	0
20161204	-14	450	0
20161205	-27	393	0
20161206	1	404	0
20161207	63	152	0
20161208	82	213	1
20161209	91	78	0
20161210	78	28	49
20161211	85	172	17
20161212	53	135	0
20161213	66	56	1
20161214	73	220	0
20161215	65	64	0
20161216	54	228	0
20161217	61	59	-1
20161218	62	159	0
20161219	43	262	0
20161220	-6	311	0
20161221	41	185	24
20161222	59	98	15
20161223	60	143	8
20161224	79	192	10
20161225	104	45	5
20161226	83	285	19
20161227	66	293	11
20161228	10	116	0
20161229	-22	144	-1
20161230	-11	169	-1
20161231	18	83	2
20170101	5	56	19
20170102	30	320	5
20170103	50	117	7
20170104	58	274	18
20170105	0	378	-1
20170106	-30	392	0
20170107	-2	61	52
20170108	43	121	0
20170109	48	62	48
20170110	53	192	38
20170111	72	254	5
20170112	52	222	143
20170113	31	332	96
20170114	18	194	51
20170115	7	292	0
20170116	-16	275	-1
20170117	-34	362	0
20170118	-38	214	-1
20170119	-20	570	0
20170120	-3	456	0
20170121	-2	503	0
20170122	-17	637	0
20170123	16	180	-1
20170124	8	152	3
20170125	-11	162	0
20170126	-28	480	0
20170127	8	429	0
20170128	54	329	-1
20170129	47	198	36
20170130	49	109	65
20170131	37	267	0
20170201	34	216	12
20170202	86	482	10
20170203	86	345	1
20170204	57	262	83
20170205	44	492	-1
20170206	43	205	0
20170207	24	123	25
20170208	0	87	2
20170209	-16	142	-1
20170210	-23	149	2
20170211	-4	203	45
20170212	7	538	3
20170213	22	820	0
20170214	38	826	0
20170215	74	756	-1
20170216	68	277	5
20170217	70	297	6
20170218	56	657	0
20170219	62	225	6
20170220	91	156	53
20170221	96	720	3
20170222	95	111	175
20170223	80	163	145
20170224	45	825	6
20170225	58	336	7
20170226	87	173	21
20170227	87	199	138
20170228	47	461	28
20170301	63	641	35
20170302	66	323	84
20170303	59	433	11
20170304	92	494	61
20170305	69	741	38
20170306	60	731	23
20170307	67	493	1
20170308	59	151	137
20170309	77	681	1
20170310	65	1202	0
20170311	73	886	0
20170312	79	1356	0
20170313	65	1111	0
20170314	88	998	0
20170315	90	1358	0
20170316	94	1424	0
20170317	83	891	57
20170318	97	262	62
20170319	113	316	2
20170320	103	238	94
20170321	75	1370	-1
20170322	63	1441	0
20170323	82	1618	0
20170324	84	1677	0
20170325	85	1649	0
20170326	80	1382	0
20170327	92	1798	0
20170328	113	1701	1
20170329	126	500	-1
20170330	157	1338	0
20170331	145	1212	14
20170401	108	596	-1
20170402	103	1709	0
20170403	81	1106	0
20170404	98	1406	0
20170405	92	1270	0
20170406	81	942	-1
20170407	105	953	0
20170408	96	1365	0
20170409	117	2091	0
20170410	98	1301	0
20170411	96	1560	0
20170412	98	616	8
20170413	93	1538	-1
20170414	99	807	-1
20170415	96	1306	34
20170416	79	1127	29
20170417	65	1643	86
20170418	61	1745	-1
20170419	39	1523	0
20170420	69	2188	0
20170421	111	992	8
