# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI),,,,
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.,,,,
# ,,,,
# STN         LON(east)   LAT(north)  ALT(m)      NAME,,,,
# 275         5.873       52.056      48.20       Deelen      ,,,,
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius),,,,
# Q         : Globale straling (in J/cm2) / Global radiation (in J/cm2),,,,
# RH        : Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm) / Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm),,,,
# STN,YYYYMMDD,   TG,    Q,   RH
275,19950714,216,1990,74
275,19950715,192,1600,5
275,19950716,175,1425,77
275,19950717,175,1445,-1
275,19950718,174,555,27
275,19950719,202,1011,0
275,19950720,231,2165,0
275,19950721,241,2247,187
275,19950722,167,1614,0
275,19950723,156,2527,0
275,19950724,192,2503,0
275,19950725,193,2686,0
275,19950726,229,2451,-1
275,19950727,192,672,79
275,19950728,197,1474,0
275,19950729,220,2227,-1
275,19950730,246,2431,0
275,19950731,258,2468,0
275,19950801,246,2494,0
275,19950802,230,2567,0
275,19950803,225,2308,0
275,19950804,186,2262,0
275,19950805,205,2490,0
275,19950806,220,2264,0
275,19950807,170,973,0
275,19950808,185,2142,0
275,19950809,198,2454,0
275,19950810,210,2405,0
275,19950811,237,2338,0
275,19950812,238,2180,0
275,19950813,189,607,2
275,19950814,162,1277,3
275,19950815,166,1954,0
275,19950816,192,1805,0
275,19950817,214,2220,0
275,19950818,230,2061,0
275,19950819,244,1988,0
275,19950820,217,1818,0
275,19950821,204,1709,0
275,19950822,229,1780,0
275,19950823,205,925,352
275,19950824,189,1564,0
275,19950825,180,887,15
275,19950826,166,1273,52
275,19950827,140,1059,35
275,19950828,136,1473,60
275,19950829,126,1263,48
275,19950830,122,1509,-1
275,19950831,125,1595,0
275,19950901,143,1563,-1
275,19950902,153,657,64
275,19950903,136,854,55
275,19950904,131,859,21
275,19950905,142,1303,-1
275,19950906,147,1294,-1
275,19950907,161,776,126
275,19950908,155,263,133
275,19950909,156,812,-1
275,19950910,167,1126,-1
275,19950911,156,655,48
275,19950912,148,1247,2
275,19950913,137,482,3
275,19950914,142,1285,0
275,19950915,140,747,19
275,19950916,145,1273,-1
275,19950917,156,1467,0
275,19950918,169,1255,0
275,19950919,160,1444,0
275,19950920,118,891,-1
275,19950921,111,684,8
275,19950922,135,419,-1
275,19950923,136,504,6
